"customer_id";"first_name";"last_name";"email";"phone";"address"
1;"John";"Doe";"john.doe@example.com";"123-456-7890";"123 Elm Street"
2;"Jane";"Smith";"jane.smith@example.com";"123-456-7891";"456 Oak Street"
3;"Emily";"Johnson";"emily.johnson@example.com";"123-456-7892";"789 Pine Street"
4;"Michael";"Brown";"michael.brown@example.com";"123-456-7893";"101 Maple Street"
5;"Sarah";"Davis";"sarah.davis@example.com";"123-456-7894";"202 Birch Street"
6;"Emma";"Anderson";"user652525@example.com";"555-979-9382";"724 Random St"
7;"Mason";"Martin";"user313091@example.com";"555-720-5620";"496 Random St"
8;"Isabella";"Johnson";"user186258@example.com";"555-398-1935";"522 Random St"
9;"Liam";"Martin";"user756216@example.com";"555-988-7045";"395 Random St"
10;"Isabella";"Jackson";"user164331@example.com";"555-997-5465";"488 Random St"
11;"Isabella";"Brown";"user568648@example.com";"555-993-3354";"328 Random St"
12;"Mason";"Brown";"user846462@example.com";"555-450-4677";"874 Random St"
13;"Emma";"Johnson";"user108072@example.com";"555-290-7601";"34 Random St"
14;"Isabella";"White";"user754011@example.com";"555-620-6678";"419 Random St"
15;"Liam";"White";"user173289@example.com";"555-637-5209";"546 Random St"
16;"Olivia";"Smith";"user18252@example.com";"555-181-4569";"712 Random St"
17;"Olivia";"White";"user503227@example.com";"555-409-2897";"23 Random St"
18;"Noah";"Taylor";"user176668@example.com";"555-924-1523";"538 Random St"
19;"Ava";"Martin";"user283351@example.com";"555-565-7642";"138 Random St"
20;"Noah";"Martin";"user359807@example.com";"555-936-6146";"69 Random St"
21;"William";"Martin";"user775212@example.com";"555-173-1735";"164 Random St"
22;"Ava";"Taylor";"user200002@example.com";"555-858-6580";"568 Random St"
23;"Isabella";"Brown";"user85190@example.com";"555-824-7989";"464 Random St"
24;"Isabella";"Thomas";"user817021@example.com";"555-471-6533";"834 Random St"
25;"Olivia";"Johnson";"user717359@example.com";"555-247-7018";"851 Random St"
26;"Liam";"White";"user753541@example.com";"555-696-1508";"292 Random St"
27;"Liam";"Thomas";"user19978@example.com";"555-427-7848";"712 Random St"
28;"Liam";"Brown";"user454132@example.com";"555-545-2048";"96 Random St"
29;"Emma";"Taylor";"user359779@example.com";"555-778-7253";"210 Random St"
30;"Isabella";"Johnson";"user101233@example.com";"555-914-3057";"424 Random St"
