"employee_id";"first_name";"last_name";"email";"phone";"hire_date";"department"
1;"Alice";"Williams";"alice.williams@example.com";"123-456-7895";"2022-01-15";"Support"
2;"Bob";"Miller";"bob.miller@example.com";"123-456-7896";"2022-02-20";"Sales"
3;"Charlie";"Wilson";"charlie.wilson@example.com";"123-456-7897";"2022-03-25";"Development"
4;"David";"Moore";"david.moore@example.com";"123-456-7898";"2022-04-30";"Support"
5;"Eve";"Taylor";"eve.taylor@example.com";"123-456-7899";"2022-05-10";"Sales"
6;"Frank";"Anderson";"frank.anderson@example.com";"123-456-7900";"2022-06-01";"Support"
7;"Grace";"Thomas";"grace.thomas@example.com";"123-456-7901";"2022-06-15";"Development"
8;"Henry";"Martinez";"henry.martinez@example.com";"123-456-7902";"2022-07-20";"Sales"
9;"Ivy";"Robinson";"ivy.robinson@example.com";"123-456-7903";"2022-08-05";"HR"
10;"Jack";"Clark";"jack.clark@example.com";"123-456-7904";"2022-09-10";"Marketing"
11;"Kevin";"Rodriguez";"kevin.rodriguez@example.com";"123-456-7905";"2022-10-12";"Development"
12;"Laura";"Lewis";"laura.lewis@example.com";"123-456-7906";"2022-11-01";"Support"
13;"Mike";"Lee";"mike.lee@example.com";"123-456-7907";"2023-01-10";"Sales"
14;"Nina";"Walker";"nina.walker@example.com";"123-456-7908";"2023-02-14";"Engineering"
15;"Oscar";"Hall";"oscar.hall@example.com";"123-456-7909";"2023-03-20";"Support"
16;"Paul";"Allen";"paul.allen@example.com";"123-456-7910";"2023-04-05";"Sales"
17;"Quinn";"Young";"quinn.young@example.com";"123-456-7911";"2023-05-15";"HR"
18;"Rachel";"King";"rachel.king@example.com";"123-456-7912";"2023-06-01";"Development"
19;"Sam";"Wright";"sam.wright@example.com";"123-456-7913";"2023-07-20";"Marketing"
20;"Tina";"Scott";"tina.scott@example.com";"123-456-7914";"2023-08-15";"Support"
